"filename", "language", "Markdown", "C++", "CMake", "YAML", "Dart", "Ruby", "Swift", "XML", "JSON", "SVG", "comment", "blank", "total"
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/layouts/center_layout.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/layouts/default_layout.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/layouts/fixed_width_layout.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/layouts/full_width_layout.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/theme.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/theme/theme.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/theme/theme_cupertino.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 10, 46
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/theme/theme_material.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 10, 43
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/app.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/bar/fixed/app_bar_fixed_cupertino.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/bar/fixed/app_bar_fixed_material.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/bar/sliver/app_bar_sliver_cupertino.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/bar/sliver/app_bar_sliver_material.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/root/app_root_cupertino.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/app/root/app_root_material.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/button/button.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/button/filled/button_filled_cupertino.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/button/filled/button_filled_material.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/button/icon/filled/button_icon_filled_cupertino.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/button/icon/filled/button_icon_filled_material.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/dialog/action/dialog_action_cupertino.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/evgenygazdovsky/workspace/reacthome-studio/apps/studio/lib/ui_kit/widgets/dialog/action/dialog_action_material.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
